,ICAO,lat,long
1255,EGSX,51.722,0.154
1256,EGSY,53.394,-1.388
1259,EGTC,52.072,-0.617
1260,EGTD,51.117,-0.534
1261,EGTE,50.734,-3.414
1263,EGTG,51.519,-2.591
1264,EGTH,51.767,0.25
1266,EGTK,51.837,-1.32
1269,EGUB,51.616,-1.096
1277,EGUL,52.409,0.561
1279,EGUN,52.361,0.488
1282,EGUW,52.127,0.956
1283,EGUY,52.357,-0.108
1284,EGVA,51.682,-1.79
1292,EGVN,51.75,-1.584
1293,EGVO,51.234,-0.943
1296,EGWC,52.64,-2.306
1300,EGWU,51.553,-0.418
1303,EGXC,53.093,-0.166
1304,EGXD,54.137,-1.42
1305,EGXE,54.292,-1.535
1307,EGXG,53.834,-1.195
1308,EGXH,52.343,0.773
1310,EGXJ,52.736,-0.649
1313,EGXP,53.307,-0.551
1315,EGXT,52.613,-0.476
1316,EGXU,54.049,-1.252
1318,EGXW,53.166,-0.524
1319,EGXZ,54.206,-1.382
1321,EGYC,52.755,1.357
1322,EGYD,53.031,-0.481
1323,EGYE,52.962,-0.561
1326,EGYM,52.648,0.55
1327,EGYP,-51.823,-58.447
1330,EHAM,52.309,4.764
1331,EHBD,51.255,5.601
1332,EHBK,50.911,5.77
1334,EHDL,52.061,5.873
1336,EHDR,53.119,6.13
1337,EHEH,51.45,5.374
1338,EHGG,53.119,6.579
1339,EHGR,51.568,4.933
1342,EHKD,52.923,4.781
1344,EHLE,52.46,5.527
1345,EHLW,53.229,5.761
1349,EHRD,51.957,4.442
1350,EHSB,52.127,5.276
1354,EHTW,52.27,6.874
1356,EHVB,52.17,4.426
1357,EHWO,51.449,4.342
1366,EICK,51.843,-8.492
1367,EICM,53.301,-8.939
1370,EIDL,55.044,-8.341
1371,EIDW,53.421,-6.27
1380,EIKN,53.91,-8.818
1381,EIKY,52.181,-9.524
1383,EIME,53.303,-6.443
1385,EINN,52.702,-8.925
1388,EISG,54.28,-8.599
1391,EIWF,52.187,-7.087
1394,EKAH,56.304,10.619
1397,EKBI,55.74,9.152
1398,EKCH,55.618,12.656
1399,EKEB,55.526,8.553
1401,EKGH,55.941,12.382
1403,EKHO,56.397,8.443
1405,EKKA,56.297,9.124
1407,EKLS,57.278,11.001
1409,EKMB,54.699,11.44
1413,EKOD,55.476,10.329
1414,EKPB,54.87,9.279
1416,EKRK,55.586,12.131
1417,EKRN,55.063,14.759
1420,EKSB,54.964,9.792
1422,EKSN,57.503,10.229
1423,EKSP,55.225,9.264
1426,EKSV,56.55,9.173
1428,EKTS,57.069,8.705
1429,EKVA,55.697,9.193
1431,EKVD,55.436,9.331
1432,EKVG,62.064,-7.277
1433,EKVH,56.847,9.459
1434,EKVJ,55.99,8.354
1435,EKVL,55.767,12.343
1436,EKYT,57.093,9.849
1437,ELLX,49.626,6.211
1439,ENAL,62.56,6.11
1440,ENAN,69.293,16.144
1442,ENAT,69.977,23.366
1445,ENBL,61.392,5.764
1446,ENBM,60.639,6.501
1447,ENBN,65.459,12.214
1448,ENBO,67.269,14.363
1449,ENBR,60.293,5.218
1450,ENBS,70.6,29.692
1452,ENCN,58.204,8.085
